sampleID,pop
B12-0270,Laysan
B12-0271,Whale-Skate
B12-0371,Whale-Skate
B12-0372,Whale-Skate
B12-0381,Laysan
B15-0131,Laysan
B15-0133,Tern
B15-0465,Laysan
B15-0473,Tern
B15-0474,Tern
B15-0476,Tern
B15-0489,Tern
B15-0492,Tern
B16-0373,Laysan
B16-0400,Lehua
B16-0401,Lehua
B17-0286,Midway
B17-0295,Tern
B17-0319,Tern
B17-0341,Tern
B17-0437,Tern
B19-0669,Laysan
B19-0676,Tern
B19-0693,Tern
B19-0695,Tern
B19-0728,Tern
B19-0729,Tern
B20-0024,Tern
B20-0025,Tern
B20-0087,Tern
B20-0133,Tern
B20-0147,Tern
B20-0243,Tern
B20-0244,Kure
B20-0316,Tern
B20-0499,Tern
B20-0501,Tern
B21-0048,Tern
B21-0071,Laysan
B21-0075,Tern
B21-0078,Tern
B21-0100,Tern
B21-0101,Tern
B21-0102,Tern
B21-0173,Laysan
BFAL-TOR-01,Torishima
BFAL-TOR-02,Torishima
BFAL-TOR-03,Torishima
BFAL-TOR-04,Torishima
BFAL-TOR-05,Torishima
BFAL-TOR-06,Torishima
BFAL-TOR-07,Torishima
BFAL-TOR-08,Torishima
BFAL-TOR-09,Torishima
BFAL-TOR-10,Torishima
BFAL-TOR-11,Torishima
BFAL-TOR-12,Torishima
BFAL-TOR-13,Torishima
BFAL-TOR-14,Torishima
BFAL-TOR-15,Torishima
BFAL-TOR-16,Torishima
BFAL-TOR-17,Torishima
BFAL-TOR-18,Torishima
BFAL-TOR-19,Torishima
BFAL-TOR-20,Torishima
BFAL-TOR-21,Torishima
BFAL-TOR-22,Torishima
BFAL-TOR-23,Torishima
BFAL-TOR-24,Torishima
BFAL-TOR-25,Torishima
BFAL-TOR-26,Torishima
BFAL-TOR-27,Torishima
BFAL-TOR-28,Torishima
BFAL-TOR-29,Torishima
BFAL-TOR-30,Torishima
BFAL-TOR-31,Torishima
BFAL-TOR-32,Torishima
BFAL-TOR-33,Torishima
BFAL-TOR-34,Torishima
BFAL-TOR-35,Torishima
BFAL-TOR-36,Torishima
BFAL-TOR-37,Torishima
BFAL-TOR-38,Torishima
BFAL-TOR-39,Torishima
BFAL-TOR-40,Torishima
BFAL-TOR-41,Torishima
BFAL-TOR-42,Torishima
BFAL-TOR-43,Torishima
BFAL-TOR-46,Torishima
BFAL-TOR-47,Torishima
BFAL-TOR-48,Torishima
BFAL-TOR-49,Torishima
BFAL-TOR-50,Torishima
BFAL-KURE-01,Kure
BFAL-KURE-02,Kure
BFAL-KURE-03,Kure
BFAL-KURE-04,Kure
BFAL-KURE-05,Kure
BFAL-KURE-06,Kure
BFAL-KURE-07,Kure
BFAL-KURE-08,Kure
BFAL-KURE-09,Kure
BFAL-KURE-10,Kure
BFAL-KURE-11,Kure
BFAL-KURE-12,Kure
BFAL-KURE-13,Kure
BFAL-KURE-14,Kure
BFAL-KURE-15,Kure
BFAL-KURE-16,Kure
BFAL-KURE-17,Kure
BFAL-KURE-18,Kure
BFAL-KURE-19,Kure
BFAL-KURE-20,Kure
BFAL-KURE-21,Kure
BFAL-KURE-22,Kure
BFAL-PCMB-01,Midway
BFAL-PCMB-02,Midway
BFAL-PCMB-03,Midway
BFAL-PCMB-04,Midway
BFAL-PCMB-05,Midway
BFAL-PCMB-06,Midway
BFAL-PCMB-07,Midway
BFAL-PCMB-08,Midway
BFAL-PCMB-09,Midway
BFAL-PCMB-10,Midway
BFAL-PCMB-11,Midway
BFAL-PCMB-12,Midway
BFAL-PCMB-13,Midway
BFAL-PCMB-14,Midway
BFAL-PCMB-15,Midway
BFAL-PCMB-16,Midway
BFAL-PCMB-17,Midway
BFAL-PCMB-18,Midway
BFAL-PCMB-19,Midway
BFAL-PCMB-20,Midway
BFAL-PCMB-21,Midway
BFAL-PCMB-22,Midway
